"imdbId","title","releaseYear","releaseDate","genre","writers","actors","directors","sequel","hitFlop"
"tt0265452","Officer","2001","14 Mar 2001","Action | Crime | Drama","Naeem Sha (dialogue) | Naeem Sha (screenplay) | Naeem Sha (story)","Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar","Naeem Sha","0","2"
"tt0267363","Chandni Bar","2001","28 Sep 2001","Crime | Drama","Mohan Azaad (dialogue) | Mohan Azaad (screenplay) | Madhur Bhandarkar | Masud Mirza (dialogue)","Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas","Madhur Bhandarkar","0","5"
"tt0271604","Kuch Khatti Kuch Meethi","2001","19 Jan 2001","Drama | Family","N/A","Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty","Rahul Rawail","0","2"
"tt0272543","Censor","2001","14 Feb 2001","Musical | Romance","Dev Anand","Dev Anand | Hema Malini | Shammi Kapoor | Rekha","Dev Anand","0","1"
"tt0272607","Farz","2001","12 Jan 2001","Action","N/A","Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri","Raj Kanwar","0","4"
"tt0272735","Mujhe Meri Biwi Se Bachaao","2001","18 Jun 2001","Comedy | Musical | Family","Harry Baweja (story) | Anees Bazmee (screenplay) | Imtiaz Patel (dialogue)","Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan","Harry Baweja","0","1"
"tt0272736","Mujhse Dosti Karoge!","2002","09 Aug 2002","Musical | Romance | Drama","Aditya Chopra | Kunal Kohli","Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra","Kunal Kohli","0","2"
"tt0273164","Daman: A Victim of Marital Violence","2001","04 May 2001","Drama | Family","Kalpana Lajmi","Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen","Kalpana Lajmi","0","1"
"tt0273406","Aashiq","2001","26 Jan 2001","Action | Comedy | Drama","Rajeev Kaul","Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee","Indra Kumar","0","3"
"tt0273535","Dil Ne Phir Yaad Kiya","2001","N/A","Drama | Musical | Romance","N/A","Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda","Rajat Rawail","0","1"
"tt0274019","Pyaar Diwana Hota Hai","2002","26 Apr 2002","Romance","S.M. Ahale (screenplay) | Shashi (story) | Javed Siddiqui (dialogue)","Rani Mukerji | Govinda | Om Puri | Laxmikant Berde","Kirti Kumar","0","1"
"tt0275381","Grahan","2001","16 Feb 2001","Drama | Romance","N/A","Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare","Shashilal K. Nair","0","1"
"tt0277981","Rahul","2001","23 Mar 2001","Drama","Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay)","Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni","Prakash Jha","0","1"
"tt0278291","Ajnabee","2001","21 Sep 2001","Crime | Mystery | Thriller","Robin Bhatt (screenplay) | Sanjeev Duggal (screenplay) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Neeraj Vora (screenplay) | Neeraj Vora (story)","Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu","Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla","0","4"
"tt0278522","Jodi No.1","2001","13 Apr 2001","Comedy","Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (screenplay)","Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi","David Dhawan","0","6"
"tt0279021","Chhupa Rustam: A Musical Thriller","2001","25 Apr 2001","Crime | Drama | Romance","Rajeev Kaul","Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill","Aziz Sejawal","0","3"
"tt0280720","The Guru","2002","14 Feb 2003","Comedy | Fantasy | Music","Tracey Jackson","Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean","Daisy von Scherler Mayer","0","1"
"tt0281102","Pyaar Tune Kya Kiya...","2001","27 Apr 2001","Thriller","Rajat Mukherjee (screenplay)","Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni","Rajat Mukherjee","0","3"
"tt0283911","Bas Itna Sa Khwaab Hai...","2001","06 Jul 2001","Romance","Mona Alvi (lyrics) | Goldie Behl (screenplay) | Goldie Behl (story) | Shrishti Behl | Manu Chopra | Tigmanshu Dhulia (dialogue) | Nida Fazli (lyrics) | Dev Kohli (lyrics) | Shyam Raj (lyrics)","Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff","Goldie Behl","0","1"
"tt0284137","Gadar: Ek Prem Katha","2001","15 Jun 2001","Action | Drama | Romance","Shaktimaan Talwar","Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey","Anil Sharma","0","9"
"tt0284328","Mujhe Kucch Kehna Hai","2001","25 May 2001","Romance","Rumi Jaffery (story) | A. Karunakaran (story)","Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna","Satish Kaushik","0","7"
"tt0285319","Paagalpan","2001","08 Jun 2001","Romance","Joy Augustine (story)","Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar","Joy Augustine","0","1"
"tt0287537","Love Ke Liye Kuch Bhi Karega","2001","29 Jun 2001","Comedy | Crime | Romance","Rajnish Thakur","Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre","Eeshwar Nivas","0","2"
"tt0288273","Uljhan","2001","04 May 2001","Drama","Sayed Sultan","Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde","Rajan Johri","0","1"
"tt0289845","Aks","2001","13 Jul 2001","Thriller | Mystery","Renzil D'Silva (story) | Rakeysh Omprakash Mehra (screenplay) | Rakeysh Omprakash Mehra (story) | Kamlesh Pandey (dialogue) | Kamlesh Pandey (script)","Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das","Rakeysh Omprakash Mehra","0","2"
"tt0290326","Tum Bin...: Love Will Find a Way","2001","13 Jul 2001","Drama | Romance","Shashank Dabral (screenplay) | Anubhav Sinha (dialogue)","Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth","Anubhav Sinha","0","4"
"tt0291376","Nayak: The Real Hero","2001","07 Sep 2001","Drama | Action","Anurag Kashyap (dialogue) | S. Shankar (story)","Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever","S. Shankar","0","2"
"tt0292490","Dil Chahta Hai","2001","24 Jul 2001","Comedy | Drama","Farhan Akhtar (story) | Kassim Jagmagia (story)","Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta","Farhan Akhtar","0","4"
"tt0292552","Hum Ho Gaye Aap Ke","2001","03 Aug 2001","Musical","Sunil Kumar Agrawal (dialogue) | Ahathian (screenplay) | Ahathian (story)","Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan","Ahathian | Sunil Kumar Agrawal","0","1"
"tt0292740","Yeh Raaste Hain Pyaar Ke","2001","10 Aug 2001","Romance |Drama","Robin Bhatt | Deepak S. Shivdasani","Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale","Deepak S. Shivdasani","0","2"
"tt0293342","Lajja","2001","19 Sep 2001","Drama | Musical | Crime","Ranjit Kapoor (dialogue) | Ashok Rawat (associate script) | Rajkumar Santoshi (dialogue) | Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story)","Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit","Rajkumar Santoshi","0","2"
"tt0294662","Kaante","2002","20 Dec 2002","Action | Crime | Drama","Sanjay Gupta | Vinay | Yash | Milap Zaveri (dialogue)","Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar","Sanjay Gupta","0","3"
"tt0295603","Shirdi Sai Baba","2001","07 Sep 2001","Drama | Mystery","Pandurang Dixit | Vikas Kapoor (story)","Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi","Deepak Balraj Vij","0","1"
"tt0296535","Bollywood Bound","2003","14 Jan 2003","Documentary","N/A","Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon","Nisha Pahuja","0","1"
"tt0296574","Company","2002","15 Apr 2002","Action | Crime | Thriller","Jaideep Sahni","Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas","Ram Gopal Varma","0","4"
"tt0297983","Ittefaq","2001","14 Sep 2001","Action | Drama | Thriller","Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics)","Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma","Sanjay Khanna","0","1"
"tt0298606","Yeh Teraa Ghar Yeh Meraa Ghar","2001","12 Oct 2001","Comedy | Drama","Priyadarshan (story) | Neeraj Vora (dialogue) | Neeraj Vora (screenplay)","Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla","Priyadarshan","0","2"
"tt0298607","Yeh Zindagi Ka Safar","2001","16 Nov 2001","Drama","Gajra Kottary","Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover","Tanuja Chandra","0","1"
"tt0299108","Rehnaa Hai Terre Dil Mein","2001","19 Oct 2001","Musical","Gautham Menon (story) | Vipul D. Shah (dialogue) | Vipul D. Shah (story)","Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee","Gautham Menon","0","2"
"tt0300028","Indian","2001","26 Oct 2001","Action | Crime | Drama","Sanjay Masoom (dialogue)","Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal","N. Maharajan","0","6"
"tt0301179","Deewaanapan","2001","16 Nov 2001","Romance |Drama","Rajesh Singh (dialogue script)","Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri","Ashu Trikha","0","2"
"tt0301240","Moksha: Salvation","2001","30 Nov 2001","Drama | Thriller","Hriday Lani (dialogues) | Raj Marbros (screenplay) | Ashok Mehta (story)","Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi","Ashok Mehta","0","1"
"tt0301250","Tera Mera Saath Rahen","2001","07 Nov 2001","Drama","Deepak Kulkarni (dialogue) | Mahesh Manjrekar (screenplay) | Sameer (lyrics)","Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra","Mahesh Manjrekar","0","1"
"tt0302524","Ehsaas: The Feeling","2001","30 Nov 2001","Drama","Deepak Kulkarni","Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor","Mahesh Manjrekar","0","1"
"tt0303187","Veer Savarkar","2001","N/A","Biography | Drama","Ved Rahi","Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje","Ved Rahi","0","1"
"tt0305173","Aamdani Atthanni Kharcha Rupaiya","2001","21 Dec 2001","Comedy","Anwar Khan (dialogue) | V. Shekhar (story)","Govinda | Juhi Chawla | Tabu | Chandrachur Singh","K. Raghavendra Rao | A.S. Ravindra Babu","0","3"
"tt0305455","Pitaah","2002","04 Jan 2002","Action | Drama","Ravi Shankar Jaiswal (additional dialogue) | Mahesh Manjrekar | K.K. Singh (dialogue) | Teja (screenplay) | Teja (story)","Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde","Mahesh Manjrekar","0","2"
"tt0306434","Aankhen","2002","27 Mar 2002","Comedy | Thriller | Crime","Shobhana Desai (play) | Aatish Kapadia (screenplay) | Aatish Kapadia (story) | Aatish Kapadia | Vipul Amrutlal Shah (screenplay) | Vipul Amrutlal Shah (story)","Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal","Vipul Amrutlal Shah","0","4"
"tt0306840","Koi Mere Dil Se Poochhe","2002","11 Jan 2002","Musical | Romance | Thriller","N/A","Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque","Vinay Shukla","0","2"
"tt0306855","Style","2001","28 Dec 2001","Musical | Comedy","N. Chandra","Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma","N. Chandra","0","5"
"tt0307116","Maa Tujhhe Salaam","2002","25 Jan 2002","Action | Drama","Ravi Shankar Jaiswal (additional dialogue) | Tinnu Verma (story)","Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma","Tinnu Verma","0","3"
"tt0307682","Yeh Dil Aashiqanaa","2002","N/A","Action | Romance","N/A","Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi","Sandesh Kohli","0","4"
"tt0307866","Filhaal...","2002","01 Feb 2002","Drama","Meghna Gulzar","Tabu | Sushmita Sen | Sanjay Suri | Palash Sen","Meghna Gulzar","0","1"
"tt0308347","Haan Maine Bhi Pyaar Kiya","2002","15 Feb 2002","Musical | Romance","Dharmesh Darshan (dialogue) | Dharmesh Darshan (screenplay) | Naseem Mukri (dialogue) | Raj Sinha (dialogue) | Raj Sinha (screenplay) | Raj Sinha (story)","Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan","Dharmesh Darshan","0","2"
"tt0309087","Yeh Mohabbat Hai","2002","08 Feb 2002","Action | Romance","Usmon Azim (screenplay) | Rafiq Talukdar (screenplay) | Milap Zaveri (dialogue)","Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell","Umesh Mehra","0","1"
"tt0310254","Tumko Na Bhool Paayenge","2002","24 Feb 2002","Action | Drama | Mystery","Rumi Jaffery","Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena","Pankaj Parashar","0","2"
"tt0311411","Kranti","2002","27 Mar 2002","Drama","Sanjay Masoom (dialogue)","Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri","Naresh Malhotra","0","2"
"tt0312664","Escape from Taliban","2003","14 Feb 2003","Drama | Thriller | War","Sushmita Banerjee (book) | Ujjwal Chatterjee (screenplay) | Shubhrajyoti (dialogue)","Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi","Ujjwal Chatterjee","0","1"
"tt0312883","Kya Yehi Pyaar Hai","2002","10 Apr 2002","Comedy | Musical | Romance","Javed Siddiqui","Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma","K. Muralimohana Rao","0","4"
"tt0313395","Kitne Door... Kitne Paas","2002","01 May 2002","Comedy | Romance","Mehul Kumar (screenplay) | Mehul Kumar (story) | Imtiaz Patel (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (dialogue) | Yunus Sajawal (screenplay)","Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania","Mehul Kumar","0","1"
"tt0313743","Vadh","2002","29 Mar 2002","Mystery | Thriller","N/A","Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul","Nana Patekar","0","1"
"tt0313844","16 December","2002","22 Mar 2002","Action | Drama | Mystery","Mani Shankar (dialogue) | Mani Shankar (screenplay) | Mani Shankar (story)","Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma","Mani Shankar","0","4"
"tt0314006","Dum","2003","24 Jan 2003","Crime","Mehran (dialogue) | Mehran (screenplay) | Eeshwar Nivas (screenplay) | Bunty Soorma (story)","Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi","Eeshwar Nivas","0","2"
"tt0314008","Durga","2002","28 Feb,2002","Action |Crime","N/A","J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka","J.D. Chakravarthi","0","1"
"tt0314186","Humko Tumse Pyaar Hai","2006","24 Feb 2006","Romance | Thriller","Ashok Roy (screenplay) | Javed Siddiqui (dialogue) | Bunty Soorma (story)","Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur","Bunty Soorma","0","1"
"tt0315632","Road","2002","27 Sep 2002","Thriller","Rajnish Thakur","Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde","Rajat Mukherjee","0","3"
"tt0315767","Angaar: The Fire","2002","N/A","Action","N/A","Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir","Ajay Kashyap","0","1"
"tt0315777","Ansh: The Deadly Part","2002","02 Apr 2002","Musical | Action","Rajan Johri (dialogue) | Rajan Johri (screenplay) | Rajan Johri (story)","Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji","Rajan Johri","0","1"
"tt0316154","Lal Salaam","2002","03 May 2002","Musical | Action | Drama","Suresh Dwadeshiwar (story) | Arshad Jamal","Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz","Gaganvihari Borate","0","1"
"tt0316911","Yeh Kaisi Mohabbat","2002","31 May 2002","Musical | Drama | Romance","Y.N. Kapoor","Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha","Dinkar Kapur","0","1"
"tt0317811","Kasam","2001","20 Nov 2001","Adventure | Drama | Crime","Madan Joshi (dialogue) | Jyothika Mittra (idea) | Faiz Saleem (screenplay)","Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam","Shibu Mitra","0","2"
"tt0319020","Awara Paagal Deewana","2002","21 Jun 2002","Action | Comedy | Crime","Anand S. Vardhan (story) | Mangesh Kulkarni (story) | Anand S. Vardhan (screenplay) | Mangesh Kulkarni (screenplay) | Neeraj Vora (dialogue)","Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani","Vikram Bhatt","0","4"
"tt0319736","The Legend of Bhagat Singh","2002","07 Jun 2002","Biography | Drama | History","Ranjit Kapoor (additional dialogue) | Piyush Mishra (Hindi dialogue) | Anjum Rajabali (English dialogue) | Anjum Rajabali (screenplay) | Rajkumar Santoshi (additional dialogue)","Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra","Rajkumar Santoshi","0","1"
"tt0321067","Ab Ke Baras","2002","10 May 2002","Adventure | Fantasy | Thriller","Robin Bhatt (screenplay) | Sutanu Gupta (screenplay) | Ravi Rai (dialogue)","Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor","Raj Kanwar","0","2"
"tt0322653","Mere Yaar Ki Shaadi Hai","2002","07 Jun 2002","Comedy | Drama | Musical","Sanjay Gadhvi | Mayur Puri (dialogue) | Mayur Puri (screenplay)","Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu","Sanjay Gadhvi","0","5"
"tt0323013","Lakshya","2004","18 Jun 2004","War | Drama | Romance","Javed Akhtar (dialogue) | Javed Akhtar (screenplay) | Javed Akhtar (story) | Karan Kashyap (dialogue supervisor)","Amitabh Bachchan | Hrithik Roshan | Preity Zinta | Sharad S. Kapoor","Farhan Akhtar","0","2"
"tt0324951","23rd March 1931: Shaheed","2002","07 Jun 2002","Biography | Drama | History","Sutanu Gupta (screenplay) | Sanjay Masoom (dialogue)","Bobby Deol | Sunny Deol | Amrita Singh | Rahul Dev","Guddu Dhanoa","0","1"
"tt0325041","Badhaai Ho Badhaai","2002","14 Jun 2002","Comedy | Drama | Musical","Kavita Choudhary","Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain","Satish Kaushik","0","1"
"tt0326576","Humraaz","2002","26 Jul 2002","Action | Musical | Mystery","Shiraz Ahmed (dialogue) | Shiraz Ahmed (screenplay) | Shiraz Ahmed (story) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Shyam Goel (story)","Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever","Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla","0","4"
"tt0326600","Maine Dil Tujhko Diya","2002","23 Aug 2002","Romance | Action | Drama","Ranjeet Gupta (staff writer)","Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi","Sohail Khan","0","2"
"tt0326805","Chori Chori","2003","01 Aug 2003","Comedy | Romance | Musical","N/A","Ajay Devgn | Sonali Bendre | Rani Mukerji | Kamini Kaushal","Milan Luthria","0","1"
"tt0326983","Jaani Dushman: Ek Anokhi Kahani","2002","16 Aug 2002","Action | Fantasy | Horror","Naveena Bhandari (screenplay) | Ravi Shankar Jaiswal (additional dialogue) | Rajkumar Kohli (screenplay) | Rajendra Singh 'Atish' (idea) | K.K. Singh (dialogue)","Akshay Kumar | Atul Agnihotri | Raj Babbar | Rajat Bedi","Rajkumar Kohli","0","2"
"tt0327004","Kuch Tum Kaho Kuch Hum Kahein","2002","28 Jun 2002","Action | Drama | Romance","N/A","Vikram Gokhale | Dinesh Hingoo | Adi Irani | Farida Jalal","Ravi Sharma Shankar","0","1"
"tt0327005","Kyaa Dil Ne Kahaa","2002","28 Jun 2002","Family | Romance","N/A","Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar","Sanjay Chhel","0","2"
"tt0327071","Om Jai Jagadish","2002","08 Jul 2002","Drama | Musical","Rumi Jaffery (dialogue) | Rahul Nanda","Waheeda Rehman | Anil Kapoor | Fardeen Khan | Abhishek Bachchan","Anupam Kher","0","1"
"tt0328503","Taj Mahal: An Eternal Love Story","2005","01 May 2006","Drama | Musical | Romance","Mohafiz Hyder (dialogue) | Akbar Khan | Fatima Meer (script) | Rajeev Mirza (dialogue)","Zulfi Sayed | Sonya Jehan | Kabir Bedi | Arbaaz Khan","Akbar Khan","0","1"
"tt0328671","Yeh Hai Jalwa","2002","03 Jul 2002","Comedy | Drama | Romance","Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story)","Rishi Kapoor | Salman Khan | Ameesha Patel | Rati Agnihotri","David Dhawan","0","2"
"tt0328729","Dil Maange More!!!","2004","31 Dec 2004","Romance","Kiran Kotrial (additional dialogue) | Anant Mahadevan (story) | Javed Siddiqui (dialogue) | Javed Siddiqui (screenplay)","Shahid Kapoor | Smita Jaykar | Ayesha Takia | Tulip Joshi","Anant Mahadevan","0","2"
"tt0328998","Dil Hai Tumhaara","2002","06 Sep 2002","Drama | Family | Romance","Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story) | Kundan Shah (screenplay) | Subrat Sinha (dialogue)","Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill","Kundan Shah","0","3"
"tt0329620","Soch","2002","23 Aug 2002","Thriller","Sushen Bhatnagar (screenplay) | Atul Tiwari (dialogue)","Sanjay Kapoor | Raveena Tandon | Aditi Govitrikar | Arbaaz Khan","Sushen Bhatnagar","0","1"
"tt0330082","Boom","2003","19 Sep 2003","Action | Crime | Mystery","Kaizad Gustad","Amitabh Bachchan | Jackie Shroff | Gulshan Grover | Padma Lakshmi","Kaizad Gustad","0","2"
"tt0330217","Dil Ka Rishta","2003","17 Jan 2003","Romance","Shabbir Boxwala | Vrinda Rai (story) | Naeem Sha (dialogue)","Arjun Rampal | Aishwarya Rai Bachchan | Priyanshu Chatterjee | Rakhee Gulzar","Naresh Malhotra","0","2"
"tt0330783","Pran Jaaye Par Shaan Na Jaaye","2003","02 May 2003","Drama | Comedy","Mahesh Manjrekar (screenplay) | Sanjay Pawar (dialogue) | Sanjay Pawar (story)","Raveena Tandon | Namrata Shirodkar | Rinke Khanna | Divya Dutta","Sanjay Jha","0","1"
"tt0330843","Saathiya","2002","20 Dec 2002","Drama | Romance","Mani Ratnam (story) | Gulzar (dialogue)","Vivek Oberoi | Rani Mukerji | Tanuja | Satish Shah","Shaad Ali","0","5"
"tt0331216","Chor Machaaye Shor","2002","23 Aug 2002","Action | Comedy | Crime","Shahnawaz Ahmed Kenny (scenario) | Anwar Khan (dialogue) | Yunus Sajawal","Bobby Deol | Om Puri | Paresh Rawal | Shekhar Suman","David Dhawan","0","2"
"tt0331256","Gunaah","2002","16 Oct 2002","Crime | Drama","Mahesh Bhatt (screenplay) | Pranay Narayan (dialogue)","Bipasha Basu | Dino Morea | Ashutosh Rana | Banjara","Amol Shetge","0","2"
"tt0331421","Akhiyon Se Goli Maare","2002","02 Aug 2002","Comedy","Rajeev Kaul (screenplay) | Rajeev Kaul (story) | Anwar Khan (dialogue) | Praful Parekh (screenplay) | Praful Parekh (story)","Govinda | Raveena Tandon | Kader Khan | Shakti Kapoor","Harmesh Malhotra","0","2"
